School_Roll_No,Short_Name,Level,Male,Female
00697S,ST BRIDGIDS NS,Primary,377,447
01170G,NAUL NS,Primary,40,61
09492W,BALSCADDEN NS,Primary,98,133
09642P,BURROW NS,Primary,105,107
10296G,ST MARNOCKS NS,Primary,143,166
11583O,ST ANDREWS NS,Primary,102,121
12358M,SWORDS BOROUGH NS,Primary,44,66
14180H,HOLMPATRICK NS,Primary,46,50
15315J,ST GEORGES NS,Primary,154,133
15569R,MILVERTON NS,Primary,47,47
15650A,CORDUFF NS,Primary,55,55
16267G,ST PATRICKS BOYS NS,Primary,0,362
16332O,ST PATRICKS SNR MIXED,Primary,158,198
16333Q,ST PATRICKS JNR MIXED,Primary,165,157
16675V,MULHUDDART NS,Primary,131,112
16844S,LOUGHSHINNEY NS,Primary,109,107
16970A,ST MOLOGAS NS,Primary,239,209
16972E,ST PETER & PAULS JNR SCHOOL,Primary,225,247
17263D,OLDTOWN NS,Primary,23,31
17284L,BALDOYLE NS,Primary,0,222
17472M,HEDGESTOWN NS,Primary,38,48
17559B,GARRISTOWN NS,Primary,71,96
17569E,BALROTHERY NS,Primary,190,159
17595F,KILCOSKAN SCHOOL,Primary,36,47
17785K,ST NICHOLAS OF THE MYRE,Primary,59,83
17820J,ROWLESTOWN NS,Primary,113,155
17914S,ST OLIVER PLUNKETT'S SCHOOL,Primary,473,439
17928G,ST SYLVESTERS,Primary,160,228
17961E,LUSK NS,Primary,321,326
18038B,ST MARGARET'S NS,Primary,33,51
18046A,ST BRIGIDS BOYS SCHOOL,Primary,0,296
18047C,ST BRIGIDS GIRLS SCHOOL,Primary,324,0
18080A,SCOIL MHUIRE,Primary,113,102
18412W,ST PATRICKS GIRLS NS,Primary,431,0
18623M,CASTLEKNOCK NS,Primary,94,91
18778S,ST MOCHTAS NS,Primary,375,408
18976W,ST COLMCILLES BNS,Primary,0,457
18977B,ST COLMCILLES GNS,Primary,499,0
19001G,BALLYBOGHIL NS,Primary,88,83
19393D,BAYSIDE JNS,Primary,210,214
19435Q,ST FRANCIS XAVIERS JNS,Primary,199,205
19456B,ST CRONANS JNS,Primary,290,321
19470S,ST FRANCIS XAVIER SNS,Primary,154,193
19505L,GAELSCOIL OILIBHEIR,Primary,123,141
19515O,ST THERESAS NS,Primary,235,245
19533Q,BAYSIDE SNS,Primary,219,228
19535U,BRACKENSTOWN SNR NS,Primary,303,317
19545A,CORDUFF NS,Primary,147,176
19549I,ST FINTANS NS,Primary,228,196
19578P,ST HELENS JNR SCHOOL,Primary,116,147
19601H,ST PHILIP THE APOSTLE  JNS,Primary,130,168
19605P,SCOIL MHUIRE JNS,Primary,122,152
19624T,ST CATHERINES NS,Primary,162,164
19625V,SCOIL REALT NA MARA,Primary,248,202
19627C,POPE JOHN PAUL II SCHOOL,Primary,264,289
19636D,ST PATRICKS SNS,Primary,155,162
19643A,ST PHILIPS SNS,Primary,155,155
19644C,ST CIARANS,Primary,366,385
19660A,RUSH NS,Primary,385,336
19693P,MARY QUEEN OF IRELAND NS,Primary,34,30
19694R,SCOIL MHUIRE SNS,Primary,139,136
19721R,HOLY FAMILY JNS,Primary,263,298
19755L,SACRED HEART NS,Primary,432,465
19762I,ST HELENS SNR SCHOOL,Primary,106,118
19769W,SCOIL THOMAIS,Primary,325,341
19850F,LADYSWELL NS,Primary,305,322
19877C,HOLY FAMILY SNS,Primary,258,240
19898K,GAELSCOIL AN DUINNINIGH,Primary,137,111
19988L,ST MARYS SCHOOL,Primary,250,0
